ccaa,2025-01_AC,2025-01_DC,2025-02_AC,2025-02_DC,2025-03_AC,2025-03_DC,2025-04_AC,2025-04_DC,2025-05_AC,2025-05_DC,2025-06_AC,2025-06_DC,2025-07_AC,2025-07_DC,2025-08_AC,2025-08_DC,2025-09_AC,2025-09_DC
Andalucía,0.4342267054276483,0.5533997595291477,0.4562231801866475,0.5814331432201177,0.3348352268869858,0.4267303961847649,0.2943725757870987,0.3751628138396473,0.3068644009588759,0.3910830070468649,0.3636207370654291,0.4634160587927009,0.3720391409855398,0.4741448846497388,0.361448245731207,0.4606473295392718,0.3782850535714285,0.4821049812533476
Aragón,0.442303530136913,0.5594127997668253,0.4647091498624228,0.5877507839951638,0.3410633224883138,0.4313670932535933,0.2998480466969441,0.3792391963397365,0.31257222580032,0.3953323725681755,0.370384256943919,0.468451368910431,0.3789592472092375,0.4792967702817704,0.3681713562302884,0.4656525556533112,0.3853213367609255,0.4873433583959899
Asturias,0.4728715003589374,0.5582843577129343,0.4968255913714916,0.5865651788353532,0.3646344965244339,0.4304969437523752,0.3205707982420814,0.3784741987247159,0.3341743561010628,0.3945349119547315,0.3959818255038256,0.4675064133693677,0.4051494405827044,0.4783299375026391,0.3936159893544376,0.4647132458511041,0.4119512195121951,0.486360294117647
Canarias,0.4241519070763654,0.5546926322574973,0.4456380261965566,0.5827915085632244,0.327066479940687,0.4277273393205092,0.2875426311887305,0.3760392829062708,0.2997446247631601,0.3919966694502639,0.3551841173078507,0.4644987083131888,0.3634071999340967,0.4752525992450103,0.3530620314688195,0.461723510653364,0.3695081967213115,0.4832312925170068
Cantabria,0.4005125217926366,0.5714457380068041,0.4208011486001435,0.6003932707013327,0.3088379858476053,0.4406457754611567,0.2715169315967592,0.3873966103810979,0.2830388678084298,0.4038359499360154,0.335388534509281,0.4785277318268359,0.3431533176084503,0.4896064171790629,0.333384719515947,0.4756687162520677,0.3489142857142857,0.4978260869565217
Castilla y León,0.4341577031561046,0.5577225320063681,0.4561506824904665,0.5859748929147583,0.3347820187563959,0.4300637160499387,0.2943257975117057,0.3780933237616654,0.306815637627516,0.3941378744009981,0.3635629546754372,0.467035941436227,0.3719800208404398,0.4778485733888207,0.3613908085683397,0.4642455848032996,0.3782249408983451,0.4858708487084871
Castilla-La Mancha,0.4539762996740914,0.5591442525526739,0.4769732229221224,0.5874686330759801,0.3500642761089148,0.4311600146325496,0.3077612938378455,0.3790571418180728,0.3208212749416656,0.3951425924856294,0.3801590151742391,0.4682264879099626,0.3889603067876831,0.4790666829250551,0.3778877141127053,0.4654290182286484,0.3954902973395931,0.4871094082588335
Cataluña,0.4424086642496916,0.5436300698414133,0.4648196097182502,0.5711685536795337,0.3411443921325014,0.4191969206469434,0.2999193196039185,0.36853970963608,0.3126465232033468,0.3841788486058768,0.37047229607901,0.4552349365338664,0.3790493245916683,0.4657743562743816,0.368258869366066,0.4525150862782495,0.3854129263913824,0.47359392575928
Ceuta,0.2869705671213208,,0.3015075376884422,,0.2212849964106245,,0.1945441493180186,,0.2027997128499641,,0.2403086862885857,,0.2458722182340272,,0.238872936109117,,0.25,
Comunidad Valenciana,0.4189279731993298,0.5414360896481396,0.4401494652750933,0.5688634337766572,0.3230382682643988,0.4175051272896536,0.2840012025941673,0.3670523584606525,0.2960529141433663,0.3826283810521562,0.3508096035734225,0.4533977010874665,0.3589314091826653,0.4638945858773929,0.3487136537387793,0.450688827593292,0.3649572649572649,0.4716825971731448
Comunidad de Madrid,0.4484140272792533,0.5539133691388457,0.4711291843834557,0.5819727705773989,0.3457751692528576,0.4271264441201981,0.3039904975426582,0.3755110019677978,0.3168904633055386,0.3914459706859885,0.375501177315147,0.4638461546447244,0.3841946325031751,0.4745849379113313,0.3732577050085592,0.4610748557372131,0.3906446153846153,0.4825524222704266
Extremadura,0.4390471434367934,0.5580015295429046,0.4612878054870626,0.5862680235347592,0.3385523000985405,0.4302788529871179,0.2976404649690332,0.3782824628045707,0.3102709644049884,0.394335039639451,0.3676573640161766,0.4672695735196681,0.3761692223317117,0.4780876144301309,0.3654607554186192,0.4644778210266455,0.3824844720496894,0.4861139028475711
Galicia,0.4663117430470322,0.540173177168309,0.4899335386610471,0.5675365463682048,0.359576222124447,0.4165312867095216,0.3161237832789137,0.3661962001566273,0.3295386301708233,0.3817358913071852,0.3904886953971083,0.4523401402303726,0.3995291356938301,0.4628125407883574,0.3881556785463415,0.4496375852476669,0.4062365591397849,0.4705823863636364
Illes Balears,0.4417495310654654,0.5598176808411806,0.4641270870481439,0.5881761749926101,0.3406361299585484,0.4316792998606477,0.2994724775953499,0.3795136748166602,0.3121807192645253,0.3956184986557436,0.3699203390223003,0.4687904156637528,0.3784845888428316,0.4796436665118308,0.3677102100363568,0.4659895767352166,0.3848387096774193,0.4876960784313725
La Rioja,0.445163092246949,0.5640320650873414,0.467713567839196,0.5926040458703776,0.3432683506819813,0.4349290408084378,0.3017866116295764,0.3823707057877911,0.3145930545585068,0.3985967689485277,0.3727788496051686,0.4723195341788306,0.3814092785355348,0.4832544897871531,0.3705516421392678,0.4694976101508765,0.3878125,0.4913675213675214
Navarra,0.4452045371993718,0.5597436430271658,0.4677571122544995,0.5880983866701931,0.3433003091724987,0.4316222087883024,0.3018147081451651,0.3794634828276721,0.3146223433616574,0.3955661767484036,0.3728135555409373,0.4687284165186836,0.381444787969443,0.4795802319870026,0.3705861407206778,0.4659279480107303,0.3878486055776892,0.4876315789473684
País Vasco,0.4252965964427603,0.5617303286619432,0.4468407017034631,0.5901857111645182,0.327949157857363,0.4331541558725303,0.2883186432419963,0.3808103041085343,0.3005535672172102,0.3969701509618485,0.3561426783219862,0.4703920638388629,0.3643879531748478,0.4812823954139226,0.3540148654567317,0.4675816556904605,0.3705054151624548,0.4893623188405797
Región de Murcia,0.4421034795827878,0.5360996331592429,0.4644989654153119,0.563256650223595,0.3409090621173092,0.4133901486462455,0.2997124276846416,0.3634346481204624,0.31243085173768,0.3788571516384894,0.37021673493518,0.4489289611008294,0.3787878467970102,0.4593223873847173,0.3680048350998691,0.4462467865759552,0.3851470588235294,0.4670336391437308
