month,ccaa,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Galicia,,7.4,AC,,,no_kwh
2025-09,Galicia,,17.0,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,14.0,AC,,,empty
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,24.0,DC,"0,40€/kWh",0.4,ok
2025-09,Galicia,,24.0,DC,"0,40€/kWh",0.4,ok
2025-09,Galicia,,22.0,AC,"0,40€/kWh",0.4,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,7.3,AC,Free,,free
2025-09,Galicia,,3.6,AC,Free,,free
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,40€/kWh",0.4,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,11.0,AC,,,no_kwh
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,50.0,DC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,36€/kWh",0.36,ok
2025-09,Galicia,,22.0,AC," 0,36€/kWh AC",0.36,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,320.0,DC,"0,69€/kWh",0.69,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,11.0,AC,,,no_kwh
2025-09,Galicia,,50.0,DC,0.44€/kWh ,0.44,ok
2025-09,Galicia,,50.0,DC,0.44€/kWh ,0.44,ok
2025-09,Galicia,,43.0,DC,0.44€/kWh ,0.44,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Galicia,,90.0,DC,"0,50€/kWh DC - 0,15€/kWh AC ",0.5,ok
2025-09,Galicia,,22.0,AC,"0,50€/kWh DC - 0,15€/kWh AC ",0.5,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,120.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-09,Galicia,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh DC ",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh DC ",0.45,ok
2025-09,Galicia,,150.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,320.0,DC,"0,69€/kWh",0.69,ok
2025-09,Galicia,,11.0,AC,,,no_kwh
2025-09,Galicia,,3.7,AC,,,no_kwh
2025-09,Galicia,,7.4,AC,,,empty
2025-09,Galicia,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,11.0,AC,"0,30€/kWh + parking fee",0.3,ok
2025-09,Galicia,,50.0,DC,,,no_kwh
2025-09,Galicia,,50.0,DC,,,no_kwh
2025-09,Galicia,,43.0,DC,,,no_kwh
2025-09,Galicia,,60.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,22.0,AC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,320.0,DC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,50.0,DC,,,empty
2025-09,Galicia,,150.0,DC,"0,54€/kWh",0.54,ok
2025-09,Galicia,,22.0,AC,"0,39€/kWh 22kW AC",0.39,ok
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,22.0,AC,,,no_kwh
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC,"0,49€/kWh DC - 0,40€/kWh AC",0.49,ok
2025-09,Galicia,,22.0,AC,"0,49€/kWh DC - 0,40€/kWh AC",0.49,ok
2025-09,Galicia,,50.0,DC,"0,49€/kWh DC - 0,40€/kWh AC",0.49,ok
2025-09,Galicia,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,7.4,AC,,,empty
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,7.4,AC,"0,38€/kWh + parking fee",0.38,ok
2025-09,Galicia,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC ",0.59,ok
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,22.0,AC,,,no_kwh
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,150.0,DC," 0,55€/kWh DC ",0.55,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,60.0,DC,"0,30 €/kWh",0.3,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Galicia,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,22.0,AC,"0,42€/kWh",0.42,ok
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,100.0,DC,"0,54€/kWh -  0,39€/kWh 22kW AC",0.54,ok
2025-09,Galicia,,22.0,AC,"0,54€/kWh -  0,39€/kWh 22kW AC",0.54,ok
2025-09,Galicia,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,7.4,AC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,22.0,AC,,,no_kwh
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,60.0,DC,"0,40€/kWh",0.4,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,7.4,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,150.0,DC,"0,69€/kWh",0.69,ok
2025-09,Galicia,,50.0,DC,"0,49 €/kWh DC",0.49,ok
2025-09,Galicia,,11.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,3.7,AC,,,no_kwh
2025-09,Galicia,,3.7,AC,,,no_kwh
2025-09,Galicia,,7.4,AC,,,empty
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,22.0,AC,"0,50€/kWh",0.5,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,,,no_kwh
2025-09,Galicia,,22.0,AC,"0,42€/kWh",0.42,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,11.0,AC,,,no_kwh
2025-09,Galicia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.0,AC,,,no_kwh
2025-09,Galicia,,150.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Galicia,,22.0,AC,"0,36€/kWh 22kW AC ",0.36,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Galicia,,50.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Galicia,,43.0,DC,"0,49€/kWh DC - 0,39€/kWh AC",0.49,ok
2025-09,Galicia,,50.0,DC," 0,47€/kWh",0.47,ok
2025-09,Galicia,,43.0,DC," 0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC," 0,47€/kWh",0.47,ok
2025-09,Galicia,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Galicia,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,22.0,AC,"0,49€/kEh + parking fee",,no_kwh
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,90.0,DC,,,empty
2025-09,Galicia,,2.3,AC,,,no_kwh
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,50.0,DC,,,empty
2025-09,Galicia,,50.0,DC,,,empty
2025-09,Galicia,,43.0,DC,,,empty
2025-09,Galicia,,60.0,DC,"0,50€/kWh DC ",0.5,ok
2025-09,Galicia,,7.4,AC,"0,39€/kWh ",0.39,ok
2025-09,Galicia,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,400.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Galicia,,60.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Galicia,,22.0,AC,"0,32€/kWh",0.32,ok
2025-09,Galicia,,150.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-09,Galicia,,22.0,AC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-09,Galicia,,150.0,DC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-09,Galicia,,22.0,AC,"0,60€/kWh DC - 0,43€/kWh AC",0.6,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Galicia,,150.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,180.0,DC,"0,54€/kWh DC - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Galicia,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,120.0,DC,"0,54€/kWh DC",0.54,ok
2025-09,Galicia,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,120.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,50.0,DC,"0,42€/kWh DC - 0,36€/kWh AC",0.42,ok
2025-09,Galicia,,50.0,DC,"0,42€/kWh DC - 0,36€/kWh AC",0.42,ok
2025-09,Galicia,,22.0,AC,"0,42€/kWh DC - 0,36€/kWh AC",0.42,ok
2025-09,Galicia,,7.4,AC,,,empty
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Galicia,,22.0,AC,"0,35€/kWh",0.35,ok
2025-09,Galicia,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Galicia,,22.0,AC,"0,54€/kWh ",0.54,ok
2025-09,Galicia,,3.6,AC,,,empty
2025-09,Galicia,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0,22€/kWh",0.22,ok
2025-09,Galicia,,50.0,DC,0.50€/kWh,0.5,ok
2025-09,Galicia,,50.0,DC,0.50€/kWh,0.5,ok
2025-09,Galicia,,22.0,AC,0.50€/kWh,0.5,ok
2025-09,Galicia,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-09,Galicia,,300.0,DC,"0,60€/kWh",0.6,ok
2025-09,Galicia,,300.0,DC,"0,60€/kWh",0.6,ok
2025-09,Galicia,,100.0,DC,"0,54€/kWh DC - 0,38€/kWh AC",0.54,ok
2025-09,Galicia,,3.7,AC,,,empty
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Galicia,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,43.0,DC,"0,45€/kWh",0.45,ok
2025-09,Galicia,,22.0,AC,,,no_kwh
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,43.6,DC,"0,47€/kWh",0.47,ok
2025-09,Galicia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh  ,0.47,ok
2025-09,Galicia,,50.0,DC,0.47€/kWh  ,0.47,ok
2025-09,Galicia,,43.0,DC,0.47€/kWh  ,0.47,ok
2025-09,Galicia,,7.4,AC,free,,free
2025-09,Galicia,,100.0,DC,"0,40€/kWh DC ",0.4,ok
2025-09,Galicia,,200.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,320.0,DC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,11.0,AC,,,empty
2025-09,Galicia,,50.0,DC,0.50€/kWh,0.5,ok
2025-09,Galicia,,50.0,DC,0.50€/kWh,0.5,ok
2025-09,Galicia,,43.0,DC,0.50€/kWh,0.5,ok
2025-09,Galicia,,50.0,DC,,,empty
2025-09,Galicia,,22.0,AC,,,empty
2025-09,Galicia,,150.0,DC,"0,54€/kWh",0.54,ok
